sector;Institución;Código Institución;RUT Unidad de Compra;Código Unidad de Compra;Unidad de Compra;Región Unidad de Compra
Municipalidades;I MUNICIPALIDAD DE AYSEN;100049;69.240.100-K;3701;I.MUNICIPALIDAD AYSEN-DIRECCION DE EDUCACION;Aysén
Municipalidades;I MUNICIPALIDAD DE AYSEN;100049;69.240.100-K;3702;I.MUNICIPALIDAD AYSEN-ADQUISICIONES;Aysén
Municipalidades;I MUNICIPALIDAD DE AYSEN;100049;60.920.753-1;3703;I.MUNICIPALIDAD AYSEN-LICEO POLITECNICO;Aysén
Municipalidades;I MUNICIPALIDAD DE PIRQUE;100072;69.072.200-3;3704;MUNICIPALIDAD DE PIRQUE - DAF;Metropolitana
Municipalidades;I MUNICIPALIDAD DE PIRQUE;100072;69.072.200-3;3705;MUNICIPALIDAD DE PIRQUE - DOM;Metropolitana
Municipalidades;I MUNICIPALIDAD DE PIRQUE;100072;69.072.200-3;3706;MUNICIPALIDAD DE PIRQUE - TTO;Metropolitana
Municipalidades;I MUNICIPALIDAD DE PIRQUE;100072;69.072.200-3;3707;MUNICIPALIDAD DE PIRQUE - DIDECO;Metropolitana
Municipalidades;I MUNICIPALIDAD DE PIRQUE;100072;69.072.200-3;3708;MUNICIPALIDAD DE PIRQUE - SECPLA;Metropolitana
Municipalidades;I MUNICIPALIDAD DE BUIN;100090;69.072.500-2;3710;MUNICIPALIDAD DE BUIN- ADQUISICIONES;Metropolitana
Municipalidades;I MUNICIPALIDAD DE BUIN;100090;69.072.500-2;3712;MUNICIPALIDAD DE BUIN_ SECPLA;Metropolitana
Municipalidades;ILUSTRE MUNICIPALIDAD DE SAN CARLOS;100107;69.140.500-1;3713; COMPRAS Y CONTRATACIONES MUNICIPALES;Ñuble
Municipalidades;ILUSTRE MUNICIPALIDAD DE SAN CARLOS;100107;69.140.500-1;3714;ADQUISICIONES Y CONTRATACIONES DIRECCION DE OBRAS;Ñuble
Municipalidades;ILUSTRE MUNICIPALIDAD DE SAN CARLOS;100107;69.140.501-K;3715;COMPRAS Y CONTRATACIONES DE EDUCACION;Ñuble
Municipalidades;ILUSTRE MUNICIPALIDAD DE SAN CARLOS;100107;69.140.500-1;3716;COMPRAS Y CONTRATACIONES DE SALUD;Ñuble
Municipalidades;ILUSTRE MUNICIPALIDAD DE SAN CARLOS;100107;69.140.502-8;3717;COMPRAS Y CONTRATACIONES DEL CEMENTERIO;Ñuble
Municipalidades;ILUSTRE MUNICIPALIDAD DE SAN CARLOS;100107;60.903.470-K;3718;COMPRAS Y CONTRATACIONES DEL LICEO POLTECNICO A-4;Ñuble
Municipalidades;ILUSTRE MUNICIPALIDAD DE SAN CARLOS;100107;69.140.500-1;4944;CONTRATACION DE OBRAS, PROYECTOS Y CONCESIONES ;Ñuble
Municipalidades;ILUSTRE MUNICIPALIDAD DE SAN CARLOS;100107;69.140.500-1;899305;COMPRAS Y LICITACIONES DIDECO;Ñuble
Municipalidades;I MUNICIPALIDAD DE CASTRO;100127;69.230.400-4;3719;ILUSTRE MUNICIPALIDAD DE CASTRO;Los Lagos
Municipalidades;I MUNICIPALIDAD DE CASTRO;100127;69.230.400-4;966131;SECPLAN;Los Lagos
Municipalidades;MUNICIPALIDAD DE PEÑAFLOR;100137;69.071.700-K;3720;DEPARTAMENTO DE ADQUISICIONES MUNICIPALES.-;Metropolitana
Municipalidades;MUNICIPALIDAD DE PEÑAFLOR;100137;69.071.700-K;3721;SECRETARIA COMUNAL DE PLANIFICACIÓN;Metropolitana
Municipalidades;MUNICIPALIDAD DE PEÑAFLOR;100137;69.071.700-K;3722;DEPARTAMENTO DE EDUCACIÓN;Metropolitana
Municipalidades;MUNICIPALIDAD DE PEÑAFLOR;100137;69.071.700-K;3723;DEPARTAMENTO DE SALUD;Metropolitana
Municipalidades;I MUNICIPALIDAD LO BARNECHEA;100155;69.255.200-8;3724;MUNICIPALIDAD DE LO BARNECHEA - ADQUISICIONES - CONSISTORIAL;Metropolitana
Municipalidades;I MUNICIPALIDAD LO BARNECHEA;100155;69.255.200-8;3728;MUNICIPALIDAD DE LO BARNECHEA - SALUD;Metropolitana
Municipalidades;I MUNICIPALIDAD LO BARNECHEA;100155;69.255.200-8;3729;MUNICIPALIDAD DE LO BARNECHEA - EDUCACION;Metropolitana
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;3725;MUNICIPAL;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;3732;SECPLA;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;3733;SALUD;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;3734;EDUCACION;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;3735;LICEO COMERCIAL ARMANDO BRAVO BRAVO;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;3736;LICEO ENRIQUE BALLACEY;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;3737;LICEO MERCEDES MANOSALVA;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;3738;LICEO JUANITA FERNANDEZ SOLAR;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;3739;ESCUELA NAHUELBUTA;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;3740;ESCUELA DIEGO DUBLÉ URRUTIA;Araucanía
Municipalidades;I MUNICIPALIDAD DE ANGOL;100156;69.180.100-4;3741;ESCUELA JOSE ELIAS BOLIVAR HERRERA;Araucanía
